X,Y
-60.08702051,103.5650726
94.8272286,-153.0365319
-27.85947453,-60.95599103
63.9920081,-43.53925449
-27.43270183,79.76798352
-91.11400684,138.16136
21.61458856,-42.28289903
55.54822991,-79.72678143
40.01528886,-27.73770962
83.79781372,-137.4960582
-33.10982594,73.35413674
-81.21340647,102.2182752
-56.68260301,26.7529235
-26.2771125,26.12341801
-61.44662853,40.67527783
66.95625149,-8.526127599
-69.44453982,40.0704944
-26.95502643,27.29131187
-70.4604594,96.80125342
20.59178115,-95.96106872
89.6296083,-137.5722576
45.88725441,-55.84593348
-73.955607,55.48854738
18.49245271,36.22809901
0.227041636,-30.3227946
-51.66242165,83.65745815
21.41827084,1.48750212
-1.482168632,-11.58565326
-14.63803183,65.00077498
99.64016154,-138.4275512
93.06192831,-144.169998
96.34241201,-120.5641614
-62.53422382,48.21166736
-71.25936542,85.72314687
89.31276156,-91.97441787
-79.49234429,74.16583232
-57.81257898,96.48432769
25.27173632,-15.33386282
-59.56211868,46.50605799
90.13640005,-112.3930504
-38.59041366,34.80552221
-48.38178311,68.31367805
12.77251313,-13.2488331
-21.46956064,-9.908209122
-17.86084552,29.89553324
98.75411787,-180.0991259
-28.93376159,-13.9405115
32.10532055,-33.18027197
-51.13635589,49.04356599
-3.243202157,33.67120215
-5.713706603,7.767870688
-97.09964786,125.1258157
98.27589653,-143.956512
-63.15410063,112.0593602
26.14305755,22.08596651
9.832979692,-68.28084107
27.11655512,-58.39933884
34.34825619,-91.19906169
-58.61234255,69.44826703
-70.89473507,71.87137697
63.31286337,-43.5838219
71.39904117,-125.8676587
-73.2179374,133.8575726
-30.52779241,-0.656213196
-52.75373138,80.94876902
96.4670199,-172.2027073
23.33051898,-43.42824821
-31.01483667,-6.583415398
-41.63772105,57.04791702
45.30980038,-37.16361334
83.62564528,-91.74596361
-19.58844909,0.970572093
25.93526337,-47.09929368
-92.46124486,117.4050366
87.25015721,-172.8725244
3.991834726,-35.376829
-17.57608731,20.8205792
-61.59653435,101.5979346
52.27246098,-8.397794936
94.64570545,-103.032882
72.12959272,-52.66790983
79.58277515,-103.6705158
1.563292649,36.28863734
-27.99433474,54.55300436
-33.50626328,36.52778249
14.68655495,-3.032736954
41.98148851,-69.43640214
89.83998746,-142.1842123
11.76850335,-20.53576011
-92.04023345,106.0507358
-5.449266499,-39.09393439
-95.51019231,144.6521746
37.2403075,-57.88613027
31.00327137,-10.50661301
32.33770728,-50.25319085
-34.90520879,67.50405605
-37.88398937,27.19528117
83.6633821,-113.7728693
91.45569084,-107.9341537
90.89576057,-109.403551
31.6697923,-65.07460545
82.27658854,-141.0823789
11.6092239,-39.2422954
36.48120044,-76.62293407
63.25289761,-70.47448006
-24.81428022,31.61538459
-72.50237092,101.5946457
89.34871657,-142.3774581
7.561720582,-62.65647728
85.10377146,-66.17595767
47.04285692,-68.12502465
-83.30593118,166.5587068
88.48719834,-92.80595204
-96.96309096,151.2039832
-19.91162761,-12.56053574
-20.195045,22.06028969
-15.66751013,74.06833676
-42.81197102,73.00509175
47.84055417,-66.50856176
97.22404107,-202.5517198
49.35531379,-44.74047286
46.27676713,-76.89342787
7.127057621,-6.915056502
33.00996316,-73.18699309
68.26880109,-126.2501183
11.63446405,-32.40345103
-27.32744408,53.28993733
83.16753488,-58.55085725
-44.56431135,73.07492664
13.50422287,-41.00426273
37.69116234,-57.71368503
55.91972056,-73.51876814
85.71520885,-145.0697173
-4.891770054,56.41413799
-0.737997843,-1.978406928
-66.80540075,67.58081229
33.98991716,-18.77734122
-66.69145608,61.00073013
-2.150987089,-18.00014667
0.467270892,16.65542611
-76.22796232,67.13930185
-8.757774625,-24.35934959
-65.87301469,54.41274226
57.48871285,-126.1817708
-62.2852976,56.46558831
-67.13114609,111.8388033
-49.97586487,55.71898005
-70.95229924,93.23281761
-11.36369519,39.92941325
-23.64573246,63.82729965
74.62253268,-125.8744495
74.05116078,-89.73965484
42.15768659,-38.3618633
58.88978979,-116.7066136
40.49966335,-65.35881246
-83.08942663,147.8225087
6.016230024,-34.7099119
-49.60879744,66.43247864
0.269463612,-31.27221169
-77.65564043,100.3242373
58.45128163,-165.2865796
11.66502647,-19.75242517
-38.52160322,51.72971475
23.46342537,-35.75043054
-11.95295211,63.74578428
85.80559413,-123.6576716
27.2223128,-15.12929779
73.69192243,-62.49024001
37.45934302,-61.69401094
-81.10254849,39.91045126
-39.65481478,40.33719633
96.86574033,-153.5333569
-79.41398001,130.4438873
61.03231832,-112.4057207
19.95517435,-10.90567545
43.68576873,-78.4253308
-66.27345989,163.7130109
38.74399653,-51.58474989
87.26654649,-119.0895116
49.83406961,-142.2403432
-70.9574711,81.71086852
-38.39390511,46.58072722
-54.83351033,71.21288836
-94.86591644,169.0322787
-72.42715103,103.2931379
57.53432103,-49.11851461
-88.93502746,120.679529
-83.53379555,119.1151645
-99.21678016,125.6876266
-19.24632923,26.7159567
-48.29958864,66.97740149
99.43628307,-82.02396197
-71.63715647,76.03533964
-1.151114516,39.26797951
36.62643917,-56.46996668
-21.48563522,21.82818062
-22.44195533,18.55404948
39.32085354,-38.23746648
34.20246718,-100.4254883
-73.57177772,82.87467462
87.43108246,-100.6607441
-43.70674146,14.45871642
-84.5238551,117.2125047
-6.418496836,20.85183311
-0.145569304,14.7772928
-51.76344984,72.06275056
82.52080926,-149.5125646
-3.448611125,-2.052355428
66.15656107,-58.16710188
71.25734659,-81.85755035
-60.62582796,33.89352285
-61.26323752,77.6127511
24.18473344,-17.77648653
7.395012211,-2.554960836
27.38290741,-25.70987513
-57.84977758,45.31963497
99.83043312,-100.967118
-39.40741112,3.719253607
-75.14723474,67.43384987
-46.38819606,40.32430825
-84.28967847,164.4883727
25.96625914,-36.29700708
71.3910087,-145.1665062
-76.759633,140.5865258
-0.983752124,24.17021806
54.69297962,-111.4445704
-18.55396391,44.10269566
19.05818055,-16.39122877
5.595295457,5.888908131
-85.0562254,105.798119
-9.564606706,26.13671225
59.54836495,-127.1723326
76.3589201,-93.52444039
